Id,OverallQual,GrLivArea,TotalBsmtSF,1stFlrSF,BsmtFinSF1,2ndFlrSF,GarageCars,YearBuilt,GarageArea
1461,5,896,882.0,896,468.0,0,1.0,1961,730.0
1462,6,1329,1329.0,1329,923.0,0,1.0,1958,312.0
1463,5,1629,928.0,928,791.0,701,2.0,1997,482.0
1464,6,1604,926.0,926,602.0,678,2.0,1998,470.0
1465,8,1280,1280.0,1280,263.0,0,2.0,1992,506.0
1466,6,1655,763.0,763,0.0,892,2.0,1993,440.0
1467,6,1187,1168.0,1187,935.0,0,2.0,1992,420.0
1468,6,1465,789.0,789,0.0,676,2.0,1998,393.0
1469,7,1341,1300.0,1341,637.0,0,2.0,1990,506.0
1470,4,882,882.0,882,804.0,0,2.0,1970,525.0
1471,7,1337,1405.0,1337,1051.0,0,2.0,1999,511.0
1472,6,987,483.0,483,156.0,504,1.0,1971,264.0
1473,5,1092,525.0,525,300.0,567,1.0,1971,320.0
1474,6,1456,855.0,855,514.0,601,2.0,1975,440.0
1475,7,836,836.0,836,0.0,0,1.0,1975,308.0
1476,9,2334,1590.0,1627,0.0,707,3.0,2009,751.0
1477,8,1544,1544.0,1544,0.0,0,3.0,2009,868.0
1478,9,1698,1698.0,1698,110.0,0,3.0,2005,730.0
1479,8,1822,1822.0,1822,28.0,0,3.0,2005,678.0
1480,9,2696,2846.0,2696,1373.0,0,3.0,2003,958.0
1481,8,2250,1671.0,1687,578.0,563,3.0,2002,756.0
1482,8,1370,1370.0,1370,24.0,0,2.0,2006,484.0
1483,6,1324,1324.0,1324,0.0,0,2.0,2005,430.0
1484,7,1145,1145.0,1145,16.0,0,2.0,2006,437.0
1485,7,1374,384.0,744,326.0,630,2.0,2004,400.0
1486,7,1733,847.0,847,0.0,886,2.0,2004,433.0
1487,8,2475,1629.0,1645,0.0,830,3.0,1998,962.0
1488,8,1595,1595.0,1595,0.0,0,3.0,2005,880.0
1489,7,1218,1218.0,1218,0.0,0,2.0,2009,676.0
1490,6,1468,1468.0,1468,1414.0,0,2.0,2005,528.0
1491,7,1659,831.0,831,0.0,828,2.0,2004,484.0
1492,5,1012,816.0,1012,0.0,0,1.0,1920,429.0
1493,6,1494,1208.0,1494,126.0,0,2.0,1974,461.0
1494,8,2349,1231.0,1251,250.0,1098,3.0,1993,762.0
1495,8,2225,1390.0,1402,1129.0,823,3.0,1992,713.0
1496,7,1488,1488.0,1488,1298.0,0,2.0,2004,506.0
1497,7,1680,840.0,840,0.0,840,2.0,2004,588.0
1498,7,1200,600.0,600,280.0,600,2.0,2004,480.0
1499,7,1200,600.0,600,368.0,600,2.0,2004,480.0
1500,6,1236,600.0,600,376.0,636,2.0,2005,480.0
1501,6,1512,756.0,756,466.0,756,2.0,2000,440.0
1502,7,1080,530.0,530,244.0,550,2.0,2003,496.0
1503,8,1418,1642.0,1418,1032.0,0,3.0,2010,852.0
1504,8,1848,975.0,975,484.0,873,2.0,2000,592.0
1505,7,1492,1492.0,1492,833.0,0,2.0,2002,596.0
1506,6,1829,1829.0,1829,506.0,0,2.0,1967,535.0
1507,6,2495,1280.0,1280,1137.0,1215,2.0,1993,660.0
1508,6,1891,1224.0,1287,687.0,604,2.0,1978,678.0
1509,6,1645,715.0,930,329.0,715,2.0,1971,441.0
1510,5,1232,1232.0,1232,698.0,0,2.0,1966,490.0
1511,5,1209,1209.0,1209,1059.0,0,2.0,1966,504.0
1512,5,1510,1510.0,1510,1010.0,0,2.0,1967,517.0
1513,6,1775,533.0,1131,0.0,644,2.0,1964,480.0
1514,5,1728,1728.0,1728,1500.0,0,0.0,1962,0.0
1515,5,2461,1140.0,1929,670.0,532,2.0,1952,400.0
1516,6,1556,782.0,1019,300.0,537,2.0,1949,470.0
1517,6,1128,1080.0,1128,944.0,0,1.0,1966,315.0
1518,5,1604,1604.0,1604,0.0,0,2.0,1958,576.0
1519,7,1480,1480.0,1480,1188.0,0,2.0,2003,620.0
1520,5,1143,1143.0,1143,856.0,0,1.0,1959,308.0
1521,5,1206,1206.0,1206,936.0,0,1.0,1959,312.0
1522,6,1580,1244.0,1580,734.0,0,2.0,1959,440.0
1523,4,1337,832.0,832,0.0,505,1.0,1956,263.0
1524,5,1064,864.0,1064,339.0,0,1.0,1952,318.0
1525,5,972,972.0,972,648.0,0,1.0,1955,305.0
1526,5,988,988.0,988,532.0,0,1.0,1958,264.0
1527,4,985,576.0,985,0.0,0,2.0,1920,676.0
1528,6,1224,816.0,816,481.0,408,1.0,1948,280.0
1529,5,1175,1175.0,1175,588.0,0,2.0,1960,484.0
1530,6,1395,1395.0,1395,717.0,0,2.0,1963,440.0
1531,4,1844,709.0,1157,48.0,687,1.0,1900,240.0
1532,5,936,936.0,936,579.0,0,0.0,1920,0.0
1533,5,1347,1347.0,1347,274.0,0,2.0,1957,551.0
1534,6,1251,827.0,827,0.0,424,1.0,1938,240.0
1535,5,1633,1027.0,1027,780.0,606,1.0,1948,240.0
1536,5,1245,1008.0,1060,176.0,185,1.0,1920,315.0
1537,2,832,678.0,832,0.0,0,2.0,1923,780.0
1538,8,1566,930.0,930,0.0,636,1.0,1900,288.0
1539,8,2268,346.0,1157,0.0,1111,2.0,1890,624.0
1540,5,2256,840.0,1128,0.0,1128,0.0,1910,0.0
1541,6,1470,738.0,868,283.0,602,2.0,1922,624.0
1542,5,1612,988.0,1030,788.0,582,1.0,1950,363.0
1543,7,2068,1108.0,1160,474.0,908,1.0,1922,315.0
1544,4,765,765.0,765,188.0,0,1.0,1925,200.0
1545,6,1132,608.0,608,452.0,524,1.0,1939,240.0
1546,6,1196,572.0,848,264.0,348,2.0,1940,576.0
1547,5,1453,835.0,955,360.0,498,1.0,1942,240.0
1548,6,1416,780.0,780,300.0,636,1.0,1948,312.0
1549,5,1040,528.0,548,276.0,492,2.0,1936,624.0
1550,5,1536,928.0,928,448.0,608,2.0,1930,480.0
1551,6,1068,1124.0,1068,960.0,0,1.0,1923,288.0
1552,4,1962,888.0,888,0.0,1074,2.0,1915,572.0
1553,6,1560,780.0,780,0.0,780,0.0,1912,0.0
1554,6,1324,662.0,662,0.0,662,1.0,1920,180.0
1555,5,1675,1422.0,1675,766.0,0,1.0,1959,365.0
1556,5,1224,689.0,725,0.0,499,1.0,1917,180.0
1557,5,1392,1212.0,1212,1026.0,180,0.0,1915,0.0
1558,6,919,600.0,600,368.0,319,1.0,1940,231.0
1559,4,1884,707.0,942,73.0,942,0.0,1907,0.0
1560,5,1680,856.0,936,736.0,744,2.0,1910,450.0
1561,4,1832,1832.0,1832,704.0,0,0.0,1967,0.0
1562,5,892,864.0,892,240.0,0,1.0,1966,416.0
1563,5,864,864.0,864,775.0,0,1.0,1968,280.0
1564,5,1373,1319.0,1373,1319.0,0,2.0,1978,591.0
1565,5,1440,720.0,720,267.0,720,2.0,1968,480.0
1566,7,1483,1420.0,1483,1092.0,0,2.0,1977,690.0
1567,4,756,660.0,756,0.0,0,2.0,1927,440.0
1568,6,1981,1117.0,1117,964.0,864,2.0,1978,522.0
1569,3,1610,972.0,1052,288.0,558,1.0,1938,480.0
1570,6,1074,663.0,1074,104.0,0,1.0,1950,467.0
1571,4,1531,756.0,1169,192.0,0,1.0,1947,209.0
1572,5,1172,1172.0,1172,954.0,0,1.0,1954,366.0
1573,7,1508,1508.0,1508,1346.0,0,2.0,2009,572.0
1574,5,1298,1250.0,1298,0.0,0,2.0,1964,504.0
1575,7,1433,1433.0,1433,1433.0,0,2.0,1987,528.0
1576,6,1802,946.0,964,860.0,838,4.0,1993,1017.0
1577,7,1222,1222.0,1222,24.0,0,2.0,2010,615.0
1578,6,1445,676.0,831,0.0,614,2.0,1900,484.0
1579,5,965,870.0,965,870.0,0,2.0,1996,580.0
1580,7,1692,878.0,892,353.0,800,2.0,1997,513.0
1581,5,1026,1026.0,1026,198.0,0,1.0,1977,308.0
1582,5,876,876.0,876,480.0,0,2.0,1972,484.0
1583,8,1978,1978.0,1978,1682.0,0,3.0,2003,850.0
1584,7,2098,1040.0,1044,0.0,1054,2.0,1997,621.0
1585,6,848,848.0,848,672.0,0,2.0,2003,420.0
1586,3,640,0.0,640,0.0,0,1.0,1945,240.0
1587,5,992,381.0,992,0.0,0,1.0,1954,319.0
1588,5,1196,1196.0,1196,1070.0,0,1.0,1968,336.0
1589,4,1120,744.0,792,0.0,328,2.0,1948,480.0
1590,6,1096,1008.0,1096,528.0,0,1.0,1975,352.0
1591,4,960,960.0,960,0.0,0,0.0,1958,0.0
1592,5,1296,1107.0,1296,133.0,0,1.0,1924,260.0
1593,6,856,856.0,856,238.0,0,2.0,1939,399.0
1594,4,2650,0.0,862,0.0,1788,0.0,1967,0.0
1595,5,1666,894.0,894,0.0,772,0.0,1931,0.0
1596,7,2133,1528.0,1225,426.0,908,1.0,1941,312.0
1597,5,2177,1032.0,1102,375.0,1075,2.0,1950,484.0
1598,7,1652,423.0,896,343.0,756,2.0,1994,473.0
1599,8,1034,982.0,1034,747.0,0,2.0,1989,598.0
1600,8,1191,1191.0,1191,76.0,0,2.0,1989,531.0
1601,2,540,480.0,540,480.0,0,1.0,1941,200.0
1602,6,1107,629.0,727,308.0,380,1.0,1921,625.0
1603,4,952,756.0,952,0.0,0,1.0,1896,330.0
1604,8,1646,1594.0,1646,1373.0,0,2.0,2004,525.0
1605,8,1916,1049.0,1036,615.0,880,3.0,1998,741.0
1606,6,1285,1243.0,1285,679.0,0,2.0,1977,473.0
1607,6,2048,1958.0,2048,0.0,0,2.0,1976,776.0
1608,7,1346,1336.0,1346,78.0,0,3.0,2008,660.0
1609,7,1214,1214.0,1214,0.0,0,2.0,2009,520.0
1610,5,1444,384.0,744,0.0,700,2.0,2006,400.0
1611,5,1264,1068.0,1264,42.0,0,2.0,1965,528.0
1612,5,1430,1430.0,1430,0.0,0,2.0,2004,624.0
1613,5,1344,1344.0,1344,0.0,0,2.0,1999,686.0
1614,5,945,945.0,945,915.0,0,1.0,1973,253.0
1615,4,1092,546.0,546,176.0,546,0.0,1970,0.0
1616,4,1092,546.0,546,0.0,546,0.0,1970,0.0
1617,4,1092,546.0,546,294.0,546,1.0,1972,286.0
1618,5,874,864.0,874,469.0,0,1.0,1971,352.0
1619,5,833,833.0,833,207.0,0,2.0,1984,495.0
1620,5,2432,1216.0,1216,0.0,1216,2.0,1985,616.0
1621,5,1274,624.0,624,458.0,650,2.0,1991,576.0
1622,5,1479,864.0,864,476.0,615,1.0,1969,275.0
1623,8,1803,1679.0,1803,1341.0,0,2.0,1994,482.0
1624,6,1797,1152.0,1152,944.0,645,2.0,1993,616.0
1625,6,882,882.0,882,564.0,0,1.0,1956,502.0
1626,6,1434,1434.0,1434,844.0,0,2.0,1974,528.0
1627,6,1608,945.0,945,847.0,663,2.0,1997,470.0
1628,8,2283,1008.0,1008,850.0,1275,3.0,2003,632.0
1629,7,1628,384.0,958,284.0,670,2.0,1996,390.0
1630,8,2522,2208.0,2522,1965.0,0,2.0,2004,564.0
1631,8,1478,1418.0,1478,341.0,0,2.0,1998,495.0
1632,8,1734,1587.0,1734,741.0,0,2.0,1995,528.0
1633,7,1382,384.0,751,189.0,631,2.0,1998,396.0
1634,6,1636,952.0,952,476.0,684,2.0,1998,440.0
1635,6,1516,707.0,707,600.0,809,2.0,1994,409.0
1636,6,1190,1181.0,1190,0.0,0,2.0,1993,430.0
1637,5,1934,1122.0,946,400.0,988,2.0,1977,567.0
1638,7,2050,832.0,1154,0.0,896,2.0,1978,529.0
1639,6,1671,1427.0,1671,363.0,0,2.0,1978,484.0
1640,7,2673,1043.0,1539,602.0,1134,2.0,1980,441.0
1641,6,1707,1140.0,1707,832.0,0,2.0,1978,479.0
1642,7,1884,926.0,1016,622.0,868,2.0,2003,581.0
1643,8,1874,1058.0,1058,0.0,816,2.0,2000,588.0
1644,8,1811,972.0,972,225.0,839,2.0,2002,565.0
1645,5,1621,1621.0,1621,1333.0,0,2.0,1975,478.0
1646,6,1116,1116.0,1116,888.0,0,2.0,1974,528.0
1647,7,1193,1176.0,1193,636.0,0,2.0,1975,506.0
1648,5,1180,1180.0,1180,0.0,0,2.0,1970,477.0
1649,5,1050,1043.0,1050,500.0,0,1.0,1971,336.0
1650,4,864,864.0,864,726.0,0,2.0,1970,576.0
1651,4,864,864.0,864,240.0,0,2.0,1971,576.0
1652,6,987,483.0,483,254.0,504,1.0,1973,264.0
1653,6,987,483.0,483,110.0,504,1.0,1972,288.0
1654,6,1548,804.0,804,306.0,744,2.0,1976,440.0
1655,7,1055,1057.0,1055,435.0,0,2.0,1975,440.0
1656,6,1456,855.0,855,389.0,601,2.0,1977,440.0
1657,6,1548,804.0,804,320.0,744,2.0,1978,440.0
1658,6,1456,855.0,855,279.0,601,2.0,1978,440.0
1659,7,836,836.0,836,536.0,0,1.0,1976,345.0
1660,5,1120,864.0,1120,644.0,0,2.0,1966,656.0
1661,9,2772,1776.0,1794,1360.0,978,3.0,2007,754.0
1662,9,2690,1365.0,1365,986.0,1325,3.0,2009,864.0
1663,9,2020,2020.0,2020,1232.0,0,3.0,2008,896.0
1664,10,2674,2630.0,2674,2288.0,0,3.0,2007,762.0
1665,9,1736,1736.0,1736,0.0,0,3.0,2008,834.0
1666,8,1782,1782.0,1782,1531.0,0,3.0,2004,932.0
1667,8,2520,1508.0,1508,1230.0,1012,3.0,2007,640.0
1668,9,1743,1739.0,1743,1015.0,0,3.0,2008,927.0
1669,9,1531,1504.0,1531,1037.0,0,3.0,2006,700.0
1670,9,1808,1774.0,1808,1142.0,0,3.0,2008,850.0
1671,7,1760,1760.0,1760,1262.0,0,2.0,2003,583.0
1672,9,2452,2452.0,2452,1972.0,0,3.0,2003,886.0
1673,8,2400,1082.0,1105,0.0,1295,3.0,2003,730.0
1674,8,1606,1598.0,1606,0.0,0,3.0,2006,871.0
1675,6,1358,1358.0,1358,836.0,0,2.0,2005,484.0
1676,6,1306,1306.0,1306,881.0,0,2.0,2005,624.0
1677,7,1358,1350.0,1358,876.0,0,2.0,2007,484.0
1678,10,2492,2492.0,2492,2146.0,0,3.0,2004,949.0
1679,8,2200,2200.0,2200,1557.0,0,3.0,2003,685.0
1680,9,1884,1884.0,1884,800.0,0,2.0,2008,649.0
1681,9,1456,1451.0,1456,0.0,0,2.0,2008,539.0
1682,8,1712,1712.0,1712,1196.0,0,3.0,2002,701.0
1683,7,1405,1405.0,1405,0.0,0,2.0,2003,478.0
1684,7,1456,728.0,728,0.0,728,2.0,2005,390.0
1685,6,1490,745.0,745,0.0,745,2.0,2005,392.0
1686,7,1220,1220.0,1220,16.0,0,2.0,2005,397.0
1687,7,1374,384.0,744,0.0,630,2.0,2004,400.0
1688,7,1630,868.0,868,0.0,762,2.0,2004,436.0
1689,7,1594,846.0,846,0.0,748,2.0,2004,434.0
1690,7,1489,782.0,806,652.0,683,2.0,2003,400.0
1691,7,1342,698.0,698,494.0,644,2.0,2003,393.0
1692,8,2004,870.0,878,651.0,1126,3.0,2002,644.0
1693,7,1374,384.0,744,241.0,630,2.0,2004,400.0
1694,6,1514,794.0,819,683.0,695,2.0,2000,394.0
1695,7,1430,384.0,774,0.0,656,2.0,1999,400.0
1696,7,2312,1177.0,1223,913.0,1089,3.0,1999,658.0
1697,7,1430,384.0,774,0.0,656,2.0,1999,410.0
1698,8,2687,1455.0,1466,1173.0,1221,3.0,2000,810.0
1699,8,2063,2024.0,2063,236.0,0,3.0,1994,815.0
1700,7,2061,1070.0,1094,816.0,967,2.0,1995,647.0
1701,8,2232,1173.0,1215,624.0,1017,2.0,1993,623.0
1702,8,1696,1696.0,1696,0.0,0,3.0,2008,972.0
1703,8,1658,1614.0,1658,0.0,0,3.0,2008,726.0
1704,8,1702,1702.0,1702,1294.0,0,3.0,2007,844.0
1705,8,1432,1422.0,1432,379.0,0,2.0,2006,492.0
1706,9,2490,2458.0,2490,2158.0,0,3.0,2005,795.0
1707,7,1436,1436.0,1436,0.0,0,2.0,2008,529.0
1708,7,1402,1402.0,1402,0.0,0,2.0,2008,625.0
1709,9,1530,1530.0,1530,0.0,0,3.0,2007,984.0
1710,8,1448,1372.0,1448,24.0,0,2.0,2006,692.0
1711,8,1795,900.0,909,682.0,886,3.0,2006,782.0
1712,8,1836,1836.0,1836,0.0,0,2.0,2008,517.0
1713,7,1662,1652.0,1662,1430.0,0,3.0,2006,711.0
1714,7,1553,1553.0,1553,771.0,0,2.0,2003,588.0
1715,7,1653,812.0,812,410.0,841,2.0,2003,628.0
1716,7,1218,1218.0,1218,0.0,0,2.0,2007,576.0
1717,7,1141,1141.0,1141,54.0,0,2.0,2006,484.0
1718,6,1158,1158.0,1158,0.0,0,0.0,2004,0.0
1719,7,1812,835.0,871,0.0,941,2.0,2004,478.0
1720,8,1512,1512.0,1512,516.0,0,3.0,2004,845.0
1721,7,1114,1114.0,1114,0.0,0,2.0,2004,576.0
1722,5,1114,1114.0,1114,0.0,0,0.0,2004,0.0
1723,5,1114,1114.0,1114,836.0,0,2.0,2003,576.0
1724,7,1450,1450.0,1450,0.0,0,3.0,2008,788.0
1725,7,2122,913.0,913,637.0,1209,2.0,1996,559.0
1726,6,1730,816.0,833,52.0,897,2.0,1992,528.0
1727,6,1332,1332.0,1332,0.0,0,2.0,1990,542.0
1728,7,1540,754.0,754,36.0,786,2.0,1994,495.0
1729,6,1400,676.0,698,331.0,702,2.0,1986,465.0
1730,6,1882,0.0,964,0.0,918,2.0,1981,612.0
1731,5,980,980.0,980,68.0,0,2.0,1962,400.0
1732,5,864,864.0,864,660.0,0,2.0,1961,732.0
1733,5,864,864.0,864,864.0,0,1.0,1961,440.0
1734,5,1020,1024.0,1020,544.0,0,1.0,1965,288.0
1735,5,912,912.0,912,624.0,0,1.0,1963,300.0
1736,5,912,912.0,912,140.0,0,1.0,1962,252.0
1737,8,2014,2014.0,2014,1733.0,0,3.0,1980,864.0
1738,7,1755,975.0,975,601.0,780,2.0,1991,524.0
1739,7,3005,1376.0,1376,0.0,1629,3.0,2004,704.0
1740,6,1726,1726.0,1726,0.0,0,2.0,2008,561.0
1741,6,1256,1145.0,1256,962.0,0,2.0,2008,641.0
1742,6,1512,756.0,756,507.0,756,2.0,2000,440.0
1743,7,1452,691.0,713,549.0,739,2.0,1999,506.0
1744,8,1694,1694.0,1694,1252.0,0,2.0,1977,642.0
1745,7,1740,1740.0,1740,121.0,0,2.0,1981,540.0
1746,8,2499,392.0,1487,0.0,1012,2.0,1976,527.0
1747,7,2067,752.0,1285,560.0,782,2.0,1974,784.0
1748,6,2640,932.0,1271,0.0,1369,2.0,1967,515.0
1749,5,1336,1288.0,1336,553.0,0,2.0,1969,502.0
1750,6,1216,1216.0,1216,955.0,0,1.0,1969,336.0
1751,7,2288,908.0,1316,432.0,972,2.0,1977,520.0
1752,5,864,864.0,864,648.0,0,1.0,1967,312.0
1753,5,1568,1568.0,1568,0.0,0,2.0,1967,440.0
1754,7,2061,1165.0,1165,698.0,896,2.0,1974,498.0
1755,6,1320,1232.0,1320,962.0,0,2.0,1971,495.0
1756,4,894,894.0,894,734.0,0,2.0,1960,396.0
1757,5,864,864.0,864,403.0,0,1.0,1959,308.0
1758,4,1362,1040.0,1362,775.0,0,3.0,1957,768.0
1759,5,1728,1048.0,1728,625.0,0,2.0,1956,576.0
1760,5,1313,1313.0,1313,310.0,0,2.0,1961,610.0
1761,5,1292,1292.0,1292,998.0,0,2.0,1964,520.0
1762,5,2140,744.0,825,388.0,1315,2.0,1965,549.0
1763,6,1576,1208.0,1576,568.0,0,2.0,1961,368.0
1764,5,960,960.0,960,100.0,0,1.0,1955,330.0
1765,6,1691,1680.0,1691,1173.0,0,2.0,1967,550.0
1766,6,1453,1453.0,1453,1312.0,0,2.0,1961,530.0
1767,6,1567,1562.0,1567,1387.0,0,2.0,1966,542.0
1768,5,1144,1169.0,1144,856.0,0,1.0,1956,286.0
1769,7,1329,1329.0,1329,544.0,0,2.0,1960,441.0
1770,6,988,988.0,988,708.0,0,1.0,1959,297.0
1771,5,1202,1202.0,1202,435.0,0,1.0,1956,304.0
1772,5,1382,1382.0,1382,172.0,0,1.0,1955,350.0
1773,4,1200,1200.0,1200,155.0,0,1.0,1956,294.0
1774,5,1866,1866.0,1866,0.0,0,2.0,1958,495.0
1775,6,1062,1062.0,1062,490.0,0,1.0,1954,297.0
1776,5,1112,631.0,1112,308.0,0,2.0,1951,480.0
1777,5,793,793.0,793,700.0,0,1.0,1945,240.0
1778,5,1031,1031.0,1031,931.0,0,1.0,1952,230.0
1779,5,1210,0.0,1210,0.0,0,1.0,1953,616.0
1780,7,1527,699.0,801,699.0,726,2.0,1948,410.0
1781,5,1200,1200.0,1200,390.0,0,1.0,1950,246.0
1782,3,792,792.0,792,0.0,0,1.0,1958,366.0
1783,5,1352,676.0,676,0.0,676,2.0,1939,720.0
1784,4,1039,405.0,717,0.0,322,1.0,1900,281.0
1785,5,1078,1054.0,1078,0.0,0,1.0,1925,264.0
1786,4,2377,1313.0,1313,0.0,0,2.0,1915,528.0
1787,7,1690,560.0,930,0.0,760,2.0,1910,624.0
1788,2,599,416.0,599,0.0,0,0.0,1940,0.0
1789,5,846,720.0,846,0.0,0,2.0,1920,576.0
1790,3,725,630.0,725,0.0,0,1.0,1890,320.0
1791,6,2544,1248.0,1248,0.0,1296,3.0,1969,907.0
1792,6,1380,1380.0,1380,384.0,0,1.0,1963,364.0
1793,6,1040,1040.0,1040,872.0,0,2.0,1967,480.0
1794,6,951,951.0,951,745.0,0,2.0,1958,480.0
1795,6,1105,1105.0,1105,546.0,0,1.0,1957,308.0
1796,6,1142,160.0,1142,0.0,0,1.0,1958,384.0
1797,6,1133,795.0,765,621.0,368,2.0,1950,900.0
1798,5,1041,1041.0,1041,0.0,0,1.0,1958,294.0
1799,5,732,732.0,732,630.0,0,1.0,1952,240.0
1800,5,1183,528.0,1183,433.0,0,1.0,1959,288.0
1801,4,1461,832.0,832,0.0,629,1.0,1949,384.0
1802,6,1495,864.0,1064,120.0,0,2.0,1948,576.0
1803,6,1806,780.0,993,0.0,813,2.0,1964,483.0
1804,5,941,941.0,941,941.0,0,2.0,1978,564.0
1805,6,1045,1045.0,1045,826.0,0,1.0,1963,264.0
1806,6,1378,901.0,861,0.0,517,1.0,1935,162.0
1807,6,1944,972.0,972,633.0,972,2.0,1910,324.0
1808,5,1306,240.0,810,0.0,496,2.0,1910,472.0
1809,5,1464,504.0,764,0.0,700,0.0,1910,0.0
1810,5,1558,690.0,868,421.0,690,2.0,1939,400.0
1811,4,1701,600.0,1101,0.0,600,0.0,1920,0.0
1812,5,1447,801.0,801,0.0,646,0.0,1910,0.0
1813,5,1328,768.0,768,384.0,560,1.0,1950,308.0
1814,4,861,861.0,861,0.0,0,2.0,1920,288.0
1815,2,612,0.0,612,0.0,0,1.0,1940,308.0
1816,5,792,624.0,792,0.0,0,1.0,1923,287.0
1817,4,1510,677.0,833,0.0,677,2.0,1910,720.0
1818,6,2007,917.0,1090,0.0,917,1.0,1900,357.0
1819,6,1288,624.0,664,0.0,624,1.0,1917,280.0
1820,4,816,624.0,816,0.0,0,0.0,1910,0.0
1821,6,1480,972.0,1044,0.0,0,1.0,1920,207.0
1822,6,1521,741.0,780,0.0,741,3.0,1910,640.0
1823,3,797,245.0,797,0.0,0,0.0,1900,0.0
