SalePrice,OverallQual,GrLivArea,TotalBsmtSF,1stFlrSF,BsmtFinSF1,2ndFlrSF,GarageCars,YearBuilt,GarageArea
208500,7,1710,856,856,706,854,2,2003,548
181500,6,1262,1262,1262,978,0,2,1976,460
223500,7,1786,920,920,486,866,2,2001,608
140000,7,1717,756,961,216,756,3,1915,642
250000,8,2198,1145,1145,655,1053,3,2000,836
143000,5,1362,796,796,732,566,2,1993,480
307000,8,1694,1686,1694,1369,0,2,2004,636
200000,7,2090,1107,1107,859,983,2,1973,484
129900,7,1774,952,1022,0,752,2,1931,468
118000,5,1077,991,1077,851,0,1,1939,205
129500,5,1040,1040,1040,906,0,1,1965,384
345000,9,2324,1175,1182,998,1142,3,2005,736
144000,5,912,912,912,737,0,1,1962,352
279500,7,1494,1494,1494,0,0,3,2006,840
157000,6,1253,1253,1253,733,0,1,1960,352
132000,7,854,832,854,0,0,2,1929,576
149000,6,1004,1004,1004,578,0,2,1970,480
90000,4,1296,0,1296,0,0,2,1967,516
159000,5,1114,1114,1114,646,0,2,2004,576
139000,5,1339,1029,1339,504,0,1,1958,294
325300,8,2376,1158,1158,0,1218,3,2005,853
139400,7,1108,637,1108,0,0,1,1930,280
230000,8,1795,1777,1795,0,0,2,2002,534
129900,5,1060,1040,1060,840,0,2,1976,572
154000,5,1060,1060,1060,188,0,1,1968,270
256300,8,1600,1566,1600,0,0,3,2007,890
134800,5,900,900,900,234,0,2,1951,576
306000,8,1704,1704,1704,1218,0,3,2007,772
207500,5,1600,1484,1600,1277,0,1,1957,319
68500,4,520,520,520,0,0,1,1927,240
40000,4,1317,649,649,0,668,1,1920,250
149350,5,1228,1228,1228,0,0,1,1966,271
179900,8,1234,1234,1234,0,0,2,2007,484
165500,5,1700,1398,1700,1018,0,2,1959,447
277500,9,1561,1561,1561,1153,0,2,2005,556
309000,8,2452,1117,1132,0,1320,3,2004,691
145000,5,1097,1097,1097,0,0,2,1994,672
153000,5,1297,1297,1297,1213,0,2,1954,498
109000,5,1057,1057,1057,731,0,1,1953,246
82000,4,1152,0,1152,0,0,0,1955,0
160000,6,1324,1088,1324,643,0,2,1965,440
170000,5,1328,1350,1328,967,0,1,1959,308
144000,5,884,840,884,747,0,2,1983,504
130250,5,938,938,938,280,0,1,1975,308
141000,5,1150,1150,1150,179,0,1,1959,300
319900,9,1752,1752,1752,456,0,2,2005,576
239686,7,2149,1434,1518,1351,631,2,2003,670
249700,8,1656,1656,1656,24,0,3,2006,826
113000,4,1452,736,736,0,716,0,1920,0
127000,5,955,955,955,763,0,1,1966,386
177000,6,1470,794,794,182,676,2,1997,388
114500,6,1176,816,816,0,0,2,1934,528
110000,5,816,816,816,104,0,2,1963,516
385000,9,1842,1842,1842,1810,0,3,1981,894
130000,5,1360,384,1360,384,0,2,1955,572
180500,6,1425,1425,1425,490,0,2,1964,576
172500,8,1739,970,983,649,756,2,1999,480
196500,7,1720,860,860,0,860,2,2004,565
438780,10,2945,1410,1426,0,1519,3,2006,641
124900,5,780,780,780,632,0,1,1972,352
158000,6,1158,1158,1158,941,0,2,2004,576
101000,5,1111,530,581,0,530,1,1920,288
202500,8,1370,1370,1370,24,0,2,2006,484
140000,7,1710,576,902,0,808,2,1921,480
219500,7,2034,1057,1057,739,977,2,1997,645
317000,8,2473,1143,1143,0,1330,3,2004,852
180000,7,2207,1947,2207,912,0,2,1970,576
226000,7,1479,1453,1479,1013,0,2,2003,558
80000,4,747,747,747,0,0,1,1945,220
225000,7,2287,1304,1304,603,983,2,1953,667
244000,7,2223,2223,2223,1880,0,2,1973,516
129500,4,845,845,845,565,0,2,1982,360
185000,7,1718,832,885,0,833,2,1998,427
144900,5,1086,1086,1086,320,0,2,1954,490
107400,3,1605,840,840,0,765,1,1915,379
91000,4,988,462,526,462,462,1,1973,297
135750,4,952,952,952,228,0,1,1956,283
127000,5,1285,672,1072,336,213,1,1948,240
136500,4,1768,1768,1768,0,0,0,1968,0
110000,5,1230,440,682,0,548,2,1910,440
193500,6,2142,896,1182,448,960,1,1968,509
153500,6,1337,1237,1337,1201,0,2,1998,405
245000,8,1563,1563,1563,33,0,3,2007,758
126500,5,1065,1065,1065,0,0,2,1960,461
168500,7,1474,384,804,0,670,2,1995,400
260000,8,2417,1288,1301,0,1116,2,1991,462
174000,6,1560,684,684,0,876,2,2005,400
164500,6,1224,612,612,0,612,2,2009,528
85000,3,1526,1013,1013,0,0,0,1915,0
123600,4,990,990,990,588,0,0,1994,0
109900,4,1040,0,1040,0,0,2,1950,420
98600,5,1235,1235,1235,600,0,2,1961,480
163500,5,964,876,964,713,0,2,1921,432
133900,6,2291,1214,1260,1046,1031,2,1910,506
204750,6,1786,824,905,648,881,2,1997,684
185000,6,1470,680,680,310,790,2,1993,420
214000,7,1588,1588,1588,1162,0,2,1999,472
94750,4,960,960,960,520,0,1,1965,432
83000,5,835,458,835,108,0,1,1920,366
128950,4,1225,950,1225,569,0,0,1959,0
205000,6,1610,1610,1610,1200,0,2,1977,480
178000,6,1732,741,977,0,755,2,1985,476
118964,5,1535,0,1535,0,0,2,1979,410
198900,7,1226,1226,1226,0,0,3,2009,740
169500,7,1818,1040,1226,224,592,1,1931,240
250000,8,1992,1053,1053,0,939,2,2003,648
100000,4,1047,641,1047,0,0,1,1885,273
115000,5,789,789,789,104,0,1,1948,250
115000,5,1517,793,997,0,520,0,1919,0
190000,6,1844,1844,1844,705,0,2,1977,546
136900,6,1855,994,1216,444,639,1,1954,325
180000,7,1430,384,774,250,656,2,2000,400
383970,7,2696,1264,1282,984,1414,3,2007,792
217000,6,2259,1809,2259,35,0,2,1953,450
259500,6,2320,1028,1436,774,884,1,1945,180
176000,6,1458,729,729,419,729,2,1999,440
139000,5,1092,1092,1092,170,0,1,1962,288
155000,5,1125,1125,1125,0,0,2,2006,430
320000,7,3222,1673,1699,1470,1523,3,1990,594
163990,6,1456,728,728,0,728,2,2005,390
180000,6,988,938,988,938,0,2,1969,540
100000,4,1123,732,772,0,351,1,1939,264
136000,6,1080,1080,1080,570,0,1,1958,288
153900,6,1199,1199,1199,300,0,2,1993,530
181000,6,1586,1362,1586,0,0,2,1979,435
84500,6,754,520,520,490,0,0,1935,0
128000,6,958,1078,958,120,0,2,1976,440
87000,5,840,672,840,116,0,0,1930,0
155000,6,1348,660,660,512,688,2,1966,453
150000,5,1053,1008,1053,567,0,2,1958,750
226000,7,2157,924,1216,445,941,2,1966,487
244000,6,2054,992,1022,695,1032,2,2000,390
150750,5,1327,1063,1327,405,0,2,1959,624
220000,8,1296,1267,1296,1005,0,2,2001,471
180000,5,1721,1461,1721,570,0,2,1968,440
174000,7,1682,1304,1682,0,0,2,1970,530
143000,5,1214,1214,1214,695,0,1,1967,318
171000,7,1959,1907,1959,0,0,3,1988,766
230000,8,1852,1004,1004,668,848,3,1999,660
231500,6,1764,928,928,821,836,2,1997,470
115000,4,864,864,864,432,0,0,1971,0
260000,7,1734,1734,1734,1300,0,2,2005,660
166000,5,1385,910,910,507,475,2,1952,720
204000,7,1501,1490,1501,679,0,2,1999,577
125000,5,1728,1728,1728,1332,0,2,1963,504
130000,6,1709,970,970,0,739,2,2004,380
105000,5,875,715,875,209,0,1,1931,180
222500,7,2035,884,884,0,1151,2,2001,434
141000,7,1080,1080,1080,680,0,0,2004,0
115000,5,1344,896,896,0,448,1,1936,240
122000,5,969,969,969,716,0,2,1975,440
372402,8,1710,1710,1710,1400,0,3,2007,866
190000,6,1993,825,1097,416,896,2,1971,495
235000,6,1252,1602,1252,429,0,2,1960,564
125000,6,1200,1200,1200,0,0,1,1923,312
79000,6,1096,572,572,0,524,0,1924,0
109500,5,1040,0,1040,0,0,2,1950,625
269500,8,1968,774,774,0,1194,3,2009,680
254900,7,1947,991,991,222,956,2,2004,678
320000,7,2462,1392,1392,57,1070,2,2005,576
162500,6,1232,1232,1232,660,0,2,1984,516
412500,9,2668,1572,1572,1016,1096,3,2003,726
220000,7,1541,1541,1541,1201,0,2,2005,532
103200,4,882,882,882,0,0,0,1956,0
152000,6,1616,1149,1149,370,467,1,1926,216
127500,5,1355,644,808,351,547,0,1940,0
190000,5,1867,1617,1867,379,0,1,1955,303
325624,8,2161,1582,1610,1288,551,3,2007,789
183500,7,1720,840,840,0,880,2,2004,440
228000,8,1707,1686,1707,0,0,2,1981,511
128500,5,1382,720,854,360,0,2,1941,660
215000,6,1656,1080,1656,639,0,2,1960,528
239000,7,1767,1064,1064,495,703,2,1987,504
163000,6,1362,1362,1362,288,0,2,1961,504
184000,6,1651,1606,1651,1398,0,2,1986,616
243000,6,2158,1202,2158,477,0,2,1950,576
211000,6,2060,1151,1164,831,896,2,1988,521
172500,5,1920,1052,1252,57,668,2,1958,451
501837,9,2234,2216,2234,1904,0,3,2008,1166
100000,5,968,968,968,0,0,2,1923,480
177000,6,1525,756,769,436,756,2,2000,440
200100,7,1802,793,901,352,901,1,1920,216
120000,5,1340,0,1340,0,0,1,1957,252
200000,7,2082,1362,1362,0,720,2,2003,484
127000,5,1252,504,936,0,316,2,1908,576
475000,10,3608,1107,1518,0,1518,3,1892,840
173000,7,1217,1188,1217,611,0,2,1990,497
135000,5,1656,660,808,0,704,1,1916,180
153337,5,1224,1086,1224,1086,0,2,1979,528
286000,8,1593,1593,1593,1153,0,2,2001,682
315000,8,2727,853,1549,297,1178,2,1932,440
184000,7,1479,725,725,626,754,2,1972,484
192000,7,1431,1431,1431,560,0,2,1999,666
130000,7,1709,970,970,0,739,2,2004,380
127000,5,864,864,864,390,0,1,1972,352
148500,6,1456,855,855,566,601,2,1976,440
311872,7,1726,1726,1726,1126,0,3,2007,786
235000,8,3112,1360,1360,1036,1360,2,1918,795
104000,6,2229,755,929,0,929,0,1912,0
274900,8,1713,1713,1713,1088,0,3,2004,856
140000,4,1121,1121,1121,0,0,2,2003,440
171500,6,1279,1196,1279,641,0,2,1977,473
112000,6,1310,617,865,617,445,1,1924,398
149000,6,848,848,848,662,0,2,2004,420
110000,5,1284,720,720,312,564,1,1947,240
180500,7,1442,1424,1442,0,0,2,1990,500
143900,5,1696,1140,1696,0,0,1,1962,349
141000,4,1100,1100,1100,419,0,1,1960,312
277000,7,2062,1157,1180,1065,882,2,1988,454
145000,6,1092,1092,1092,787,0,2,1964,504
98000,5,864,864,864,468,0,0,1925,0
186000,6,1212,1212,1212,36,0,2,2009,460
252678,7,1852,900,932,822,920,2,2009,644
156000,5,990,990,990,716,0,2,1995,576
161750,6,1392,689,689,378,703,1,1977,299
134450,5,1236,1070,1236,360,0,1,1957,447
210000,7,1436,1436,1436,946,0,2,2004,484
107000,4,1328,686,810,0,518,1,1925,210
311500,7,1954,798,1137,341,817,2,1939,431
167240,7,1248,1248,1248,16,0,2,2005,438
204900,7,1498,1498,1498,0,0,2,2006,675
200000,6,2267,1010,1010,0,1257,2,2002,390
179900,6,1552,713,811,550,741,2,1975,434
97000,4,864,864,864,524,0,2,1971,576
386250,10,2392,2392,2392,56,0,3,2003,968
112000,5,1302,630,630,0,672,1,1971,280
290000,7,2520,1203,1214,565,1306,3,1995,721
106000,6,987,483,483,321,504,1,1970,280
125000,5,912,912,912,842,0,1,1967,336
192500,7,1555,1373,1555,16,0,2,2005,430
148000,6,1194,1194,1194,0,0,1,1959,312
403000,8,2794,1462,1490,689,1304,3,1995,810
94500,6,987,483,483,0,504,1,1972,288
128200,5,894,894,894,182,0,1,1976,308
216500,6,1960,860,860,625,1100,2,2002,440
89500,6,987,483,483,358,504,1,1971,264
185500,7,1414,1414,1414,24,0,2,2004,494
194500,7,1744,996,1014,402,730,2,1993,457
318000,8,1694,1694,1694,0,0,3,2007,818
113000,6,1487,735,798,94,689,1,1945,220
262500,8,1566,1566,1566,1078,0,2,2008,750
110500,5,866,686,866,329,0,0,1945,0
79000,5,1440,540,889,0,551,1,1900,352
120000,6,1217,626,626,0,591,1,1980,288
205000,7,2110,948,1222,695,888,2,1994,463
241500,7,1872,1845,1872,929,0,2,1988,604
137000,6,1928,1020,908,0,1020,1,1910,440
140000,6,1375,1367,1375,0,0,2,1954,451
180000,7,1668,840,840,0,828,2,2003,500
277000,6,2144,1444,1444,697,700,2,1958,389
76500,3,1306,728,1306,0,0,0,1940,0
235000,8,1625,1573,1625,1573,0,2,2006,538
173000,6,1640,798,798,0,842,2,2004,520
158000,6,1302,1302,1302,270,0,1,1964,309
145000,5,1314,1314,1314,922,0,1,1957,294
230000,7,2291,975,1005,0,1286,2,1999,429
207500,6,1728,864,864,503,864,2,2003,673
220000,7,1604,1604,1604,1334,0,2,2006,660
231500,7,1792,963,963,361,829,2,2001,564
97000,5,882,0,882,0,0,1,1956,308
176000,6,1382,1362,1382,672,0,2,1962,884
276000,8,2574,1482,1482,0,1092,3,2007,868
151000,6,1212,506,1212,506,0,2,1977,492
130000,5,1316,926,926,234,0,2,1929,484
73000,5,764,680,764,0,0,2,1925,504
175500,6,1422,1422,1422,588,0,2,1981,576
185000,6,1511,802,802,714,709,2,1997,413
179500,5,2192,720,1052,378,720,1,1939,240
120500,5,778,740,778,403,0,1,1940,924
148000,6,1113,1143,1113,751,0,1,1976,504
266000,8,1939,1095,1095,0,844,3,2006,1053
241500,7,1363,1385,1363,226,0,2,1954,439
290000,8,2270,1152,1164,524,1106,3,1999,671
139000,6,1632,1240,1632,620,0,1,1958,338
124500,5,816,816,816,546,0,1,1982,264
205000,7,1548,952,952,0,596,2,1925,672
201000,7,1560,1560,1560,0,0,2,2003,573
141000,4,864,864,864,120,0,2,1951,400
415298,9,2121,2121,2121,0,0,3,2006,732
192000,7,2022,1160,1156,392,866,2,1977,505
228500,7,1982,807,1175,421,807,2,1989,575
185000,6,1262,1262,1262,905,0,2,2006,572
207500,7,1314,1314,1314,904,0,2,2007,626
244600,8,1468,1468,1468,0,0,3,2008,898
179200,6,1575,1575,1575,430,0,2,1992,529
164700,7,1250,625,625,0,625,2,2006,528
159000,6,1734,912,1085,600,649,2,1962,440
88000,4,858,858,858,614,0,0,1971,0
122000,5,900,882,900,450,0,1,1967,280
153575,6,1396,698,698,0,698,1,1915,384
233230,8,1919,1079,1079,0,840,2,2006,685
135900,5,1716,780,936,210,780,0,1912,0
131000,5,1716,768,1148,292,568,1,1949,281
235000,7,2263,795,1468,795,795,2,1977,539
167000,6,1644,1416,1644,1285,0,2,1953,418
142500,6,1003,1003,1003,819,0,2,1984,588
152000,5,1558,910,910,420,648,1,1950,282
239000,7,1950,975,975,649,975,2,1997,576
175000,6,1743,702,1041,384,702,2,1968,539
158500,6,1152,1092,1152,0,0,1,1950,300
157000,5,1336,1165,1336,841,0,1,1953,375
267000,8,2452,1028,1210,281,1242,2,1998,683
205000,7,1541,1541,1541,0,0,3,2001,843
149900,5,894,894,894,894,0,2,1972,552
295000,7,3493,1470,1675,0,1818,3,1880,870
305900,8,2000,2000,2000,1464,0,3,2004,888
225000,7,2243,700,1122,700,1121,3,1990,746
89500,6,1406,319,1035,0,371,0,1920,0
82500,4,861,861,861,262,0,2,1940,539
360000,9,1944,1896,1944,1274,0,3,2003,708
165600,6,1501,697,697,518,804,2,1993,420
132000,6,972,972,972,680,0,1,1948,240
119900,5,1118,793,793,507,325,2,1939,410
375000,7,2036,2136,2036,1236,0,2,1965,513
178000,7,1641,728,832,16,809,2,1925,546
188500,7,1432,716,716,425,716,2,2004,432
260000,7,2353,845,1153,692,1200,2,1980,484
270000,8,1959,1088,1088,0,871,3,2006,1025
260000,7,2646,1347,1372,987,1274,3,1993,656
187500,7,1472,1372,1472,1036,0,2,1980,588
342643,9,2596,1249,1249,0,1347,3,2006,840
354000,8,2468,1136,1136,970,1332,3,2004,872
301000,7,2730,1502,1553,28,1177,2,1986,576
126175,3,1163,1162,1163,256,0,1,1955,220
242000,7,2978,710,1898,0,1080,2,1967,564
87000,5,803,720,803,116,0,2,1941,360
324000,8,1719,1719,1719,1619,0,2,1993,473
145250,6,1383,1383,1383,565,0,1,1960,292
214500,6,2134,844,1445,0,689,2,1916,441
78000,5,1192,596,596,0,596,1,1920,189
119000,5,1728,1728,1728,40,0,1,1964,352
139000,5,1056,1056,1056,846,0,1,1958,308
284000,8,1629,3206,1629,1124,0,3,2003,880
207000,7,1358,1358,1358,720,0,2,2004,484
192000,6,1638,943,943,828,695,2,1998,472
228950,5,1786,1499,1619,1249,167,2,1965,529
377426,9,1922,1922,1922,1249,0,3,2005,676
214000,7,1536,1536,1536,810,0,2,2002,532
202500,7,1621,1208,1621,213,0,2,1984,440
155000,6,1215,1215,1215,585,0,1,1958,297
202900,8,1908,967,993,0,915,2,2002,431
82000,4,841,721,841,0,0,1,1950,294
87500,3,1040,0,1040,0,0,2,1949,400
266000,9,1684,1684,1684,28,0,2,2005,564
85000,5,1112,536,536,129,576,1,1976,336
140200,6,1577,972,972,0,605,1,1939,312
151500,6,958,958,958,498,0,1,1960,301
157500,6,1478,1478,1478,1270,0,2,1960,498
154000,7,1626,764,764,573,862,2,2003,474
437154,9,2728,1848,1848,1410,880,3,2005,706
318061,9,1869,1869,1869,0,0,2,2007,617
190000,7,1453,1453,1453,1082,0,2,1986,445
95000,5,1111,616,616,236,495,1,1941,200
105900,6,720,624,720,0,0,2,1928,484
140000,6,1595,940,1192,388,403,1,1940,240
177500,6,1200,1200,1200,334,0,2,1995,521
173000,6,1167,1158,1167,560,0,2,1992,400
134000,5,1142,1142,1142,874,0,2,1976,528
130000,5,1352,1062,1352,300,0,1,1958,288
280000,8,1924,1086,1086,956,838,2,1998,592
156000,6,912,888,912,773,0,2,1978,470
145000,5,1505,883,988,399,517,1,1940,240
198500,7,1922,0,495,0,1427,2,2003,672
118000,6,987,483,483,162,504,1,1972,264
190000,6,1574,796,790,712,784,2,1976,566
147000,5,1344,672,672,456,672,1,1920,468
159000,6,1394,1394,1394,609,0,2,1963,514
165000,6,1431,1099,1431,371,0,1,1962,296
132000,5,1268,1268,1268,540,0,1,1954,244
162000,5,1287,1063,1287,72,0,2,1959,576
172400,6,1664,953,953,0,711,2,2000,460
134432,4,1588,0,1120,0,468,2,1959,680
125000,6,752,744,752,623,0,1,1984,264
123000,5,1319,608,1319,428,0,1,1953,270
219500,7,1928,847,847,0,1081,2,2003,434
61000,1,904,683,904,350,0,0,1922,0
148000,5,914,870,914,298,0,2,1996,576
340000,8,2466,1580,1580,0,886,2,2004,610
394432,9,1856,1856,1856,1445,0,3,2010,834
179000,6,1800,982,1007,0,793,2,2000,463
127000,5,1691,1026,1026,218,665,1,1924,308
187750,7,1301,1293,1301,0,0,2,2006,572
213500,7,1797,939,939,0,858,2,2006,639
76000,6,784,784,784,0,0,2,1928,360
240000,6,1953,1580,1079,985,874,2,1992,501
192000,8,1269,1256,1269,24,0,2,2004,430
81000,5,1184,658,658,0,526,0,1910,0
125000,6,1125,1041,1125,631,0,1,1976,352
191000,7,1479,1468,1479,0,0,2,1999,577
426000,10,2332,1682,1742,1280,590,3,2007,846
119000,5,1367,861,961,241,406,1,1900,384
215000,6,1961,804,804,690,1157,2,2001,560
106500,5,882,0,882,0,0,1,1959,294
100000,4,788,788,788,266,0,0,1941,0
109000,5,1034,735,735,0,299,1,1940,240
129000,5,1144,1144,1144,739,0,1,1956,596
123000,5,894,894,894,777,0,2,1972,600
169500,5,1812,864,876,540,936,1,1962,264
67000,5,1077,961,1077,0,0,1,1920,338
241000,7,1550,1092,1112,812,438,2,2006,438
245500,8,1288,1260,1288,786,0,2,1996,500
164990,7,1310,1310,1310,24,0,2,2005,400
108000,5,672,672,672,0,0,1,1940,240
258000,8,2263,1141,1165,0,1098,2,1998,420
168000,6,1572,806,806,0,766,2,1995,373
150000,4,1620,1281,1620,1116,0,2,1976,490
115000,6,1639,1064,1166,0,0,1,1936,240
177000,6,1680,840,840,0,840,1,1915,308
280000,7,2172,1063,1071,0,1101,3,2006,947
339750,8,2078,1034,1050,789,1028,3,2007,836
60000,5,1276,1276,1276,0,0,1,1958,350
145000,5,1056,1056,1056,1056,0,2,1955,572
222000,7,1478,1470,1478,578,0,2,2009,484
115000,5,1028,1008,1028,0,0,2,1927,360
228000,7,2097,1080,1080,50,1017,3,1993,678
181134,7,1340,1340,1340,24,0,2,2007,396
149500,6,1400,672,672,209,728,2,1978,440
239000,6,2624,1370,1370,1128,1254,3,1918,864
126000,5,1134,756,756,312,378,1,1940,240
142000,5,1056,1056,1056,775,0,1,1968,304
206300,7,1344,1344,1344,1309,0,4,1997,784
215000,6,1602,1602,1602,1246,0,2,1977,529
113000,5,988,988,988,0,0,2,1954,520
315000,8,2630,1470,1470,986,1160,3,1998,696
139000,6,1196,1196,1196,616,0,1,1956,297
135000,7,1389,651,707,0,682,1,1946,240
275000,7,1644,1518,1644,1518,0,2,1989,569
109008,4,907,907,907,288,0,1,1957,352
195400,7,1208,1208,1208,664,0,2,2007,628
175000,6,1412,1392,1412,1005,0,2,1988,576
85400,6,987,483,483,387,504,1,1971,264
79900,6,1198,901,1088,0,110,0,1920,0
122500,5,1365,765,765,471,600,2,1971,440
181000,6,1604,926,926,0,678,2,1997,470
81000,4,630,630,630,495,0,0,1972,0
212000,7,1661,799,827,385,834,2,1996,550
116000,6,1118,648,734,0,384,2,1920,440
119000,6,904,884,904,0,0,1,1926,180
90350,5,694,440,694,365,0,1,1913,352
110000,6,1196,684,684,0,512,2,1920,528
555000,10,2402,3094,2402,1767,0,3,2008,672
118000,4,1440,1440,1440,133,0,0,1955,0
162900,5,1573,1078,1128,0,445,2,1930,360
172500,7,1258,1258,1258,0,0,3,2006,648
210000,7,1908,915,933,642,975,2,1994,493
127500,6,1689,1436,1689,0,0,2,1956,480
190000,6,1888,1517,1888,247,0,2,1966,578
199900,7,1886,930,956,0,930,2,1998,431
119500,6,1376,780,780,0,596,1,1937,198
120000,3,1183,649,679,331,504,1,1948,308
110000,6,813,813,813,0,0,1,1930,270
280000,7,1533,1533,1533,655,0,2,1975,576
204000,6,1756,872,888,742,868,2,1996,422
210000,8,1590,768,786,0,804,2,2008,676
188000,5,1728,1728,1728,1606,0,2,1976,560
175500,7,1242,1242,1242,916,0,2,1973,528
98000,5,1344,624,624,0,720,3,1916,513
256000,4,1663,1364,1663,1116,0,2,1954,529
161000,8,1666,588,833,0,833,1,1925,228
110000,5,1203,709,979,185,224,1,1950,352
263435,8,1935,832,832,544,1103,2,2009,552
155000,7,1135,560,575,350,560,2,1936,576
62383,5,864,864,864,553,0,1,1965,360
188700,6,1660,715,849,326,811,1,1934,240
124000,5,1040,1040,1040,616,0,0,1978,0
178740,7,1414,1375,1414,0,0,2,2004,398
167000,7,1277,1277,1277,778,0,2,1970,526
146500,5,1644,728,888,386,756,1,1942,312
250000,8,1634,1626,1634,0,0,3,2006,866
187000,6,1710,832,832,426,878,2,1993,506
212000,8,1502,1488,1502,368,0,2,1985,528
190000,7,1969,808,1161,0,808,2,1977,534
148000,6,1072,547,1072,459,0,2,2005,525
440000,8,1976,1976,1976,1350,0,3,2006,908
251000,8,1652,1494,1652,1196,0,2,2000,499
132500,5,970,970,970,630,0,2,1963,624
208900,6,1493,1478,1493,994,0,2,1997,508
380000,9,2643,2153,2069,0,574,3,2006,694
297000,8,1718,1705,1718,1288,0,3,2007,826
89471,4,1131,907,1131,168,0,2,1937,672
326000,9,1850,1833,1850,1261,0,3,2004,772
374000,9,1792,1792,1792,1567,0,3,2003,874
155000,7,1826,910,916,299,910,1,1915,164
164000,6,1216,1216,1216,897,0,2,1998,402
